LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12
12.844139,74.98054,1.09,0.23775245,660.5,1131,1606,2015,2249,2857,3190.5,3163,3479,3228,4191,3072
12.844139,74.98054,0.89,0.23775245,660.5,1131,1606,2015,2249,2857,3190.5,3163,3479,3228,4191,3072
12.87568,75.24539,0.98,0.259373963,780.5,1004,1274,1674,1799.5,2562,3025.5,2846.5,3219.5,3247,2860,1880.5
12.902164,75.228717,0.93,0.278630979,711,965,1293,1643,1984.5,2523.5,2851,3094.5,3014.5,3120,3568.5,2576
13.01861111,74.82027778,0.79,0.206727948,716,1205,1585,2028,2043,2569.5,2828,3085,3036,3052.5,3618.5,2546.5
13.01861111,74.82027778,1.3,0.206727948,716,1205,1585,2028,2043,2569.5,2828,3085,3036,3052.5,3618.5,2546.5
12.85847,74.98175,1.24,0.262721621,1135,1037,1448,1705,1794.5,2556,2812,2860,2961,3196,2958,1860
12.86502,75.232974,1.19,0.271313308,643.5,890.5,1288,1874,1814,2710,3175.5,3269.5,3289.5,3229.5,2935.5,1813
12.87836,75.24568,0.73,0.289836598,665.5,954,1232,1621,1970.5,2472.5,2775,2705.5,3077.5,3310.5,3770,2772.5
12.869707,75.244582,0.34,0.293516328,672,1321,1765,2158,1858.5,2670.5,3093.5,3158.5,3297.5,3594,2802,1918.5
12.8558,74.97783,1.26,0.298719122,791.5,915.5,1191,1437,1751,2309,2647,2588,2845.5,2949,2816,1985
13.02027778,74.81888889,1.15,0.29365795,567.5,655.5,787.5,1028,1423,2028.5,2226,2033,2596,2690,3274,2237.5
13.02027778,74.81888889,0.91,0.29365795,567.5,655.5,787.5,1028,1423,2028.5,2226,2033,2596,2690,3274,2237.5
13.02027778,74.81888889,0.91,0.29365795,567.5,655.5,787.5,1028,1423,2028.5,2226,2033,2596,2690,3274,2237.5
13.02027778,74.81888889,0.97,0.29365795,567.5,655.5,787.5,1028,1423,2028.5,2226,2033,2596,2690,3274,2237.5
13.02027778,74.81888889,0.99,0.29365795,567.5,655.5,787.5,1028,1423,2028.5,2226,2033,2596,2690,3274,2237.5
12.901194,75.225708,0.26,0.292804836,568.5,784,1163,1521,1664.5,2366,2778.5,2780.5,2944.5,2992.5,2751.5,1770.5
12.852356,74.98544,1.09,0.238884045,838,957,1241,1746,2137,2786.5,3039,2842,3232,3198.5,3632.5,2668.5
12.85618,74.9766,1.17,0.25765017,764,910,1208,1480,1953,2550,2948.5,2967,3325.5,3530,3662.5,2511
13.01888889,74.81833333,1.33,0.27570922,610,784.5,1075,1466,1857.5,2482.5,2761.5,2772,3025.5,3004,3938.5,2623.5
12.87659,75.25242,0.92,0.192304202,580,807,1269,1555,2117.5,2912,3223.5,3151,3384,2885.5,2903.5,1903
13.01888889,74.82083333,1.13,0.275147929,740,823.5,1050,1410,1718,2280.5,2541,2382,2770.5,2740,3170.5,2317.5
12.858478,74.981684,0.95,0.262721621,1135,1081,1479,1745,1973,2581,2854.5,2947,3032.5,3196,3198,2069
12.85247,74.98618,1.09,0.226385461,780.5,1187,1564,2121,2425.5,2764,3072.5,2848,3156,3132.5,3476.5,2622
12.85451,74.97851,0.86,0.296267293,616.5,842.5,1032.5,1348,1617.5,2090.5,2370,2483,2631.5,2731.5,3391,2349
12.85001,75.23001,0.91,0.202996566,802.5,896.5,1089,1319,1617,2398.5,2832.5,2713,3060,3114,2858,1888
12.84992,74.9848,1.04,0.224260577,1065,968.5,1303,1594,2204.5,2764.5,3200,3286,3624,3668,4096.5,2902
12.877939,75.248664,0.41,0.28481203,607,630.5,859.5,1135,1509.5,1803,2138.5,2347.5,2506.5,2662,3401,2478
12.84858,74.98382,0.85,0.289938217,818.5,1050,1494,1502,2198,2693,2996,3117,3237.5,3228.5,3338.5,2358
