LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
12.8499,74.9862,1.05,0.25503498,835,1104,1406,1757,2004,2348.5,2603,2960,3019,3037.5,4253,3135.5,3,0.763658568,0.254552856,0.255034983,0.008400935,0.244031265,0.26459232,0.020561054,0.244031265,0.244031265,3,7.06E-05
12.8499,74.9862,0.7,0.25503498,835,1104,1406,1757,2004,2348.5,2603,2960,3019,3037.5,4253,3135.5,3,0.763658568,0.254552856,0.255034983,0.008400935,0.244031265,0.26459232,0.020561054,0.244031265,0.244031265,3,7.06E-05
12.89564,75.230569,0.49,0.231276281,1116,1157,1324,1590,1874,2416.5,2733.5,2743,2997,2740.5,3415.5,2537,3,0.763471082,0.254490361,0.266097397,0.016414828,0.231276289,0.266097397,0.034821108,0.231276289,0.266097397,2,0.000269447
13.02166667,74.81861111,0.8,0.208800332,626,1010,1452,1906,2130,2524.5,2843.5,2912,3175,2930.5,4133,3026,2,0.476793543,0.238396771,0.238396771,0.02959644,0.208800331,0.267993212,0.059192881,0.208800331,0.208800331,2,0.000875949
13.02166667,74.81861111,0.96,0.208800332,626,1010,1452,1906,2130,2524.5,2843.5,2912,3175,2930.5,4133,3026,2,0.476793543,0.238396771,0.238396771,0.02959644,0.208800331,0.267993212,0.059192881,0.208800331,0.208800331,2,0.000875949
13.02166667,74.81861111,1.02,0.208800332,626,1010,1452,1906,2130,2524.5,2843.5,2912,3175,2930.5,4133,3026,2,0.476793543,0.238396771,0.238396771,0.02959644,0.208800331,0.267993212,0.059192881,0.208800331,0.208800331,2,0.000875949
12.8503,74.9849,1.07,0.244088624,1181.5,1548,1883,2177,2522.5,2909.5,3198.5,3361,3574,3595.5,4791.5,3690,4,0.946729764,0.236682441,0.232255146,0.021509251,0.213795587,0.268423885,0.054628298,0.213795587,0.213795587,4,0.000462648
12.84726,74.98766,1.06,0.236387492,633.5,1010,1377,1768,2115.5,2553.5,2849,3075,3257.5,3180,4224.5,3104.5,4,1.000320166,0.250080042,0.247544453,0.014751081,0.235357225,0.269874036,0.034516811,0.235357225,0.235357225,4,0.000217594
12.85365,74.9725,1.13,0.271112947,1214.5,1337,1740,2139,2440,2844.5,3122,3056,3285.5,3267,4177,3137.5,4,0.846272618,0.211568154,0.19960656,0.039265125,0.175946549,0.271112949,0.0951664,0.175946549,0.175946549,4,0.00154175
12.85326,74.97222,0.36,0.225509028,1199.5,1088.5,1575,1871,2462,3042,3382.5,3294,3509.5,3457.5,4047.5,2948.5,4,0.976229012,0.244057253,0.246015944,0.027788594,0.2086889,0.275508225,0.066819325,0.2086889,0.2086889,4,0.000772206
